"productid","EanCode","Volume","Weight","Height","Length","Width","price10","price14","price16","ProductDescription","NutritionDescription","IngredientsDescription","ProductName","ImageUrl","VatRate","CreationDate","LastmodifiedDate","suppliername","NewProduct","Origin","AdultProduct","StorageType","RecycleFee","Season","Orderfactor","LastReceiptDay","LastSalesDay","TruckRouteOpt"
27528,"8718951179790","0.28","0.12","149","35","54",15.949999809265137,15.949999809265137,14.949999809265137,Colgate Triple Action är en trippelverkande tandkräm som kan användas av hela familjen. Skyddar mot karies och ger en fräschare andedräkt. Tandkrämen är blå/vit/grön randig.,,,Tandkräm Triple Action 75ml Colgate,"08718951179790_g1n1.jpg",25,2007-10-27 15:36:22,2019-03-20 02:48:19,Colgate,1,,0,,,,"1",,,
60969,"5038483668429","0.37","0.132","184","45","45",64.94999694824219,64.94999694824219,64.94999694824219,"Scholl Fresh Step Antiperspirant Deodorant Spray har en speciellt framtagen trippelverkande formel som omedelbart avlägsnar dålig lukt, minskar fukt och ger fötterna 24 timmars skydd mot dålig lukt. Tack vare Scholl Fresh Step Antiperspirant Deodorant Spray kan du lugnt ta av dig skorna. Sprayen avger en lätt doft som effektivt skyddar mot dålig lukt och ser till att dina fötter alltid håller sig fräscha. Dermatologiskt testad.",,,Deo Skospray 150g Scholl,"05038483668429_c1n1.jpg",25,2009-12-01 09:34:27,2019-03-19 22:04:35,Scholl,0,,0,,,,"1",,,
87111,"6414301028344","6.31","0.737","194","130","240",32.95,32.95,32.95,,,,Toalettpapper Maximeter 4-p 700g Serla,"06414301028344_g1r1.jpg",25,2012-09-28 14:38:49,2019-03-18 14:35:24,Serla,1,,0,,,,"1",,,
97713,"7350062140064","1.4","0.14","165","147","60",72.95,72.95,72.95,"Från kooperativet BioFruit Napoli, Nariño, Colombia. Inget tillsatt socker eller svaveldioxid. 100% frukt.   Du har väl hört när någon säger ”bara de bästa bären är goda nog”? I detta fall är det sant. Varje physalis öppnas och kontrolleras. De omogna bären exporteras och de solmogna söta mumskulorna går till Nathalies lätttorkade frukter. Därför är innehållet i denna påse av lite jämnare kvalitet än du kanske är van vid. Dessutom torkas Nathalies bär lätt och långsamt på så låg temperatur som möjligt. Det ger ett mjukare, fuktigare och mumsigare resultat. Som bären i busken!  I Colombia säger man att den stärker synnerven och rensar blodet. Många diabetiker börjar sin morgon på fastande mage med ett par nävar physalis. Den är annars särskilt rik på antioxidanter och innehåller i färsk form sex gånger mer C-vitaminer än blåbär.  <img src=""https://cdn3.cdnme.se/4618866/8-3/samlingsbild_130g_594250cb2a6b226a6a2a7b83.jpg"" alt="""" class=""image"" data-oid=""594250cb2a6b226a6a2a7b83"" /> ","Näringsvärde per 100g. Energi: 306kcal/1277 kJ, Kolhydrater: 63,3g, Protein: 7,14g, Fett: 8,1g.",Lättorkad ekologisk physalis ,Torkad Physalis EKO 130g Nathalie's,torkad-physalis-eko-130g-nathalie-s-2.jpg,12,2014-01-13 12:07:46,2019-05-10 14:29:51,Nathalies,0,,0,,,,,"90","29",
107346,"071720531303","0.12","0.055","33","225","16",19.950000762939453,19.95,19.95,"Chokladkaka som består av smaksatt nougat, täckt i choklad glasyr","Näringsinnehåll per serveringsstl 53g, Energi 962kJ/230kcal, Fett 6g, varav mättat fett 4g, Kolhydrat 44g, varav sockerarter 30g, Protein 2g, Salt 0g ","Ingredienser: majssirap, socker, delvis hydrogenerad vegetabilisk olja (palmkärnolja, palmolja och/eller sojabönolja), fettfri mjölkpulver, kakao, laktos (mjölk), mjölkproteinkoncentrat, äggvita, aromämnen, emulgeringsmedel E322, sojaprotein, salt.",Charlestons Chew Vanilla 53g,charlestons-chew-vanilla-53g.jpg,12,2015-04-29 10:37:41,2019-02-12 09:58:55,Charlestons Chew,1,,0,,,,"0","60","29",
117978,"8718692411517","1.45","0.83","255","95","60",14.949999809265137,14.949999809265137,14.949999809265137,,,,Sköljmedel Soft Spring Secrets 750ml At Home,skoljmedel-soft-spring-secrets-750ml-at-home.jpg,25,2016-03-08 11:36:39,2019-03-07 14:55:00,At home,0,,0,,,NB,"1",,,
123545,"8710464120290","0.79","0.23","161","52","101",59.95000076293945,59.95000076293945,59.95000076293945,"Skonsam rengöring för tandproteser. Corega Tabs 3 minutes är anpassad till protesens yta och rengör utan att repa samt tar bort 99,9% av bakterier som orsakar dålig andedräkt. Den tar även bort missfärgningar och beläggningar.  Corega Tabs 3 minutes har en frisk smak av mint och fungerar även bra som rengöring för bettskenor. Använd två gånger per dag. ",,,Corega Tabs 3 Minutes 66-p,"08710464120290_g1r1.jpg",25,2016-10-25 10:59:12,2019-04-23 10:06:18,Corega,1,,0,,,,"1",,,
132610,"7330620633085","2.72","1.1","265","54","190",109,109,109,"Antikljus i vitt är ett klassiskt ljus från Liljeholmens.  Diameter: 21mm Höjd: 255mm Brinntid: 6 timmar, 30-pack ",,,Antikljus Vita 30-p Liljeholmens,antikljus-vita-30-p-liljeholmens.jpg,25,2017-07-20 12:06:21,2018-11-20 13:19:04,Liljeholmens,1,73,0,,,,"1",,,
136819,"5705001432113","1.22","0.517","235","72","72",37.95000076293945,37.95000076293945,37.95000076293945,"Rynkeby Ingefära/gurkmeja shot är gjord på äppel- och ingefärsjuice med en uppfriskande hint av gurkmeja. Shoten som innehåller hela 33% ingefära är riktigt rivig men rundas av med gurkmejans söta smak. Shoten är proppfull av energi och vitaminer, praktiskt att ha hemma och på jobbet. Behöver inte förvaras kylt när den är oöppnad. Flaskan innehåller ca 12 shots. ","Energi 163 kJ, Energi 38 kcal, Fett 0.5 g, Varav mättat fett 0 g, Kolhydrat 8 g, Varav sockerarter 7.5 g, Protein 0.5 g, Motsvarande salt 0 g, Vitamin C 40 mg","Äppeljuice*, ingefärsjuice- (33%), citronjuice*, gurkmejajuice (1%), vitamin C och konserveringsmedel: Kaliumsorbat och natriumbenzoat. Pastöriserad. *Från koncentrat.",Ingefära/Gurkmeja Shot 500ml Rynkeby,"05705001432113_c1n1.jpg",12,2017-12-06 10:55:49,2019-03-29 13:27:04,Rynkeby,0,,0,,,,"1","90","4",
143626,"7350039457560","0.15","0.085","140","10","105",12.949999809265137,12.949999809265137,12.949999809265137,,"Energi 1400 kJ, Energi 340 kcal, Fett 0 g, Varav mättat fett 0 g, Kolhydrat 77 g, Varav sockerarter 54 g, Protein 5.6 g","glukos, socker, gelatin(nöt), ammoniumklorid(E510), lakrits, färgämne(E153), aromer.",S-märke Supersalta 80g Candy People,"07350039457560_g1n1.jpg",12,2018-04-06 10:53:25,2019-03-09 14:49:12,Candy people,0,,0,,,,"1","90","29",
150046,"3280250009504","4.36","0.25","330","120","110",119,119,119,"Nät med olika frukosttillbehör för lek i 14 delar. 12 x 11 x 33 cm. Från 18 månader.  <img src=""https://cdn1.cdnme.se/4618866/8-3/3280250009504_5b87d8279606ee7592baa561.jpg"" data-oid=""5b87d8279606ee7592baa561"" class=""image""/>",,,Leksaksmat i nät  - Frukost Ecoiffier,leksaksmat-i-nat----frukost-ecoiffier.jpg,25,2018-08-16 12:39:04,2018-09-19 08:18:13,Ecoiffier,0,,0,,,,"1",,,
154015,"071567991674","0.4257","0.184","86","198","25",89.94999694824219,89.94999694824219,89.94999694824219,"Inspirerad av de mest eleganta drinkarna. Jelly Belly Cocktail Classics Presentask transportera dig till den gyllene åldern av cocktail. Du behöver inte oroa dig för baksmälla, ingen alkoholhalt.","Energi kJ 1547, Energi 364 kcal, Fett 0,5g, Varav mättat fett 0,2g, Kolhydrater 91g, Varav sockerarter 60g, Protein 0,0g, Salt 0,14g","Socker, glukossirap, modifierad majsstärkelse, surhetsreglerande medel (E325, E330, E331), jordgubbspuré, aromämnen, citronpuré, granatäpplejuicekoncentrat, persikopurékoncentrat, koncentrat (äpple, morot, spirulina, svart morot, svarta vinbär, pumpa), ytbehandlingsmedel (E901, E903, E904), kokos, tapioka dextrin, färgämnen (E100, E162, E163ii, E171).",Cocktail Classics Gift Box 125g Jelly Belly Bean,cocktail-6.jpg,12,2018-10-12 14:00:57,2019-01-24 15:50:39,Jelly Belly Beans,0,,0,,,,"1","90","29",
159370,"7332531083669","0.24","0.077","107","47","47",64.94999694824219,64.94999694824219,64.94999694824219,"N.A.E. Naturale Antica Erboristeria är ett ekologiskt skönhetsmärke som härstammar från den italienska örtläkekonsten och gamla traditioner av skönhetsrecept. Produkterna är producerade med en unik blandning av naturliga, veganska och ekologiska ingredienser.  Idratazione fuktgivande deodorant kombinerar ekologiska fikon och hibiskus som försiktigt återfuktar din hud. Ger 24 timmars effektivt doftskydd och en känsla av fräschhet utan att lämna vita fläckar. Ekologisk certifierad COSMOS ORGANIC av Ecocert Greenlife enligt COSMOS standard. ",,,Deodorant Idratazione EKO 50ml N.A.E.,"07332531083669_g1n1.jpg",25,2019-01-07 10:05:13,2019-04-15 08:07:15,N.A.E.,0,,0,,,,"1",,,
161110,"7310074006253","5.21","3.64","116","135","333",82.94999694824219,82.94999694824219,82.94999694824219,Zingo Apelsin är en kolsyrad läskedryck med fräsch smak av apelsin. En svensk klassiker som är älskad av barn i alla åldrar sedan den introducerades på 1950-talet.,"Energi 197 kJ, Energi 47 kcal, Fett 0 g, Varav mättat fett 0 g, Kolhydrat 11 g, Varav sockerarter 11 g, Protein 0 g, Motsvarande salt 0 g"," Kolsyrat vatten, socker, apelsinjuice (8%) från koncentrat, syra (citronsyra), konserveringsmedel (kaliumsorbat), naturlig apelsinarom, antioxidationsmedel (askorbinsyra), färgämne (karotener).",Zingo 10x33cl,zingo-10x33cl.jpg,12,2019-02-21 07:28:11,2019-05-17 14:17:16,Zingo,0,,0,,10,v21,"1","90","29",
164011,"501222",,,,,,34.95,34.95,39.95,,,,Physalisbär 125g Klass1,physalisbar-125g-klass1.png,12,2019-05-14 09:22:17,2019-05-20 14:00:55,Frukt & Grönt,1,142,0,,,,,,,